Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,ENTRADAS,1 - PAO DE ALHO TRADICIONAL,1,3,6,1,2,1,2,3,5,1,3,1,0,0,6,3,2,2,1,1,0,5,3,2,1,0,0,5,0,2,1,63
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,ENTRADAS,2 - PAO DE ALHO CALABRESA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,6
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,4 - ESPETTO DE LINGUICA PICANTE,0,2,0,0,2,1,1,0,0,0,0,1,3,1,3,2,1,0,0,0,0,0,2,0,2,1,2,2,1,2,1,30
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,5 - ESPETTO DE LINGUICA,1,2,2,2,0,0,1,4,3,4,1,3,2,2,2,2,3,1,4,3,1,4,3,2,1,5,1,2,0,3,3,67
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,6 - ESPETTO DE CARNE,18,46,21,6,21,21,30,5,35,16,47,31,35,40,39,59,36,32,21,33,35,32,29,16,15,40,24,34,24,16,3,860
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,7 - ESPETTO DE CORACAO,5,6,6,6,15,5,6,3,4,8,13,11,12,15,12,12,7,8,7,4,13,11,8,14,5,7,6,7,4,7,2,249
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,8 - ESPETTO DE QUEIJO COALHO,5,16,8,7,2,2,1,2,18,7,6,10,1,11,4,7,3,3,7,3,7,7,5,4,3,4,2,5,4,3,1,168
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,9 - ESPETTO DE KAFTA,0,5,2,6,5,4,6,3,3,5,5,7,4,3,3,12,2,5,4,4,4,6,3,5,4,1,3,2,0,1,3,120
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,10 - ESPETTO DE FRANGO,4,16,6,4,12,6,8,3,6,11,14,22,14,10,11,12,9,9,15,15,13,8,6,14,8,15,7,10,7,7,2,304
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,11 - ESPETTO MISTO,3,5,4,3,1,1,2,1,7,6,2,9,3,7,8,9,1,1,5,4,2,8,4,2,0,5,3,7,3,0,0,116
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,12 - ESPETTO DE SALSICHAO,3,6,11,0,4,2,5,0,6,3,4,4,5,8,5,9,2,3,2,4,0,8,5,1,0,2,5,2,4,5,3,121
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,13 - ESPETTO DE FRANGO A MILANESA,0,5,1,3,7,3,0,2,9,2,0,4,3,4,0,3,1,0,0,0,4,0,1,2,0,3,0,0,1,2,0,60
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,14 - ESPETTO SUINO,0,0,2,3,0,1,0,1,0,0,2,1,1,5,0,0,0,1,2,0,1,1,1,0,0,1,2,1,2,5,0,33
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,15 - ESPETTO DE CARNE C/ BACON,0,7,1,2,3,0,2,3,4,2,7,2,3,8,1,5,2,1,7,3,0,2,2,1,1,1,2,6,3,1,0,82
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS TRADICIONAIS,16 - ESPETTO DE FRANGO C/ BACON,1,2,1,0,1,0,0,2,2,6,3,4,1,2,3,2,2,0,3,0,2,1,1,1,1,3,1,1,7,2,0,55
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS PREMIUM,18 - ESPETTO FILE MIGNON,3,6,0,2,2,0,2,1,4,0,2,2,4,5,14,0,1,0,2,4,6,3,1,4,1,2,1,1,3,0,0,76
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS PREMIUM,19 - ESPETTO PICANHA,1,1,1,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,6,0,0,0,1,0,0,0,2,1,1,0,0,20
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS PREMIUM,20 - ESPETTO DE FRANGO COM PROVOLONE,0,0,0,1,0,0,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS PREMIUM,21 - ESPETTO DE CAMARAO,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,2,2,0,0,0,0,2,0,0,0,1,1,1,0,16
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS PREMIUM,22 - ESPETTO MEDALHAO DE CARNE,3,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,11
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS PREMIUM,23 - ESPETTO DE PROVOLONE A MILANESA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
