Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7586 - ESPETTO CARIOCA GUADALUPE,ESPETTOS,ESPETTOS TRADICIONAIS,6 - ESPETTO DE CARNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5
7586 - ESPETTO CARIOCA GUADALUPE,ESPETTOS,ESPETTOS TRADICIONAIS,7 - ESPETTO DE CORACAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7586 - ESPETTO CARIOCA GUADALUPE,ESPETTOS,ESPETTOS TRADICIONAIS,11 - ESPETTO MISTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
7586 - ESPETTO CARIOCA GUADALUPE,ESPETTOS,ESPETTOS TRADICIONAIS,13 - ESPETTO DE FRANGO A MILANESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7586 - ESPETTO CARIOCA GUADALUPE,ESPETTOS,ESPETTOS TRADICIONAIS,16 - ESPETTO DE FRANGO C/ BACON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7586 - ESPETTO CARIOCA GUADALUPE,ALIMENTOS,PORCOES,43 - BATATA FRITA PALITO 200G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4
7586 - ESPETTO CARIOCA GUADALUPE,ALIMENTOS,PETISCOS,72 - BATATA FRITA PALITO 400G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7586 - ESPETTO CARIOCA GUADALUPE,BEBIDAS,CERVEJAS,131 - LONG NECK HEINEKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
7586 - ESPETTO CARIOCA GUADALUPE,BEBIDAS,CHOPP,135 - CANECA ZERO GRAU AMSTEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
7586 - ESPETTO CARIOCA GUADALUPE,BEBIDAS,AGUAS E REFRIGERANTES,146 - AGUA SEM GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
7586 - ESPETTO CARIOCA GUADALUPE,ALIMENTOS,CARIOCA DO SEU JEITO,154 - ALMOCO CARIOCA 1 ESPETTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
