Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,ENTRADAS,1 - PAO ALHO TRADICIONAL,7,35,6,5,23,19,4,11,4,3,18,13,6,4,5,2,0,5,6,8,7,1,5,1,1,3,5,4,5,9,0,225
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,ENTRADAS,2 - PAO DE ALHO CALABRESA,2,2,0,0,5,1,0,2,2,3,3,7,4,4,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,42
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,4 - ESPETTO DE LINGUICA PICANTE,0,0,2,1,6,1,3,5,2,2,2,0,7,2,4,0,3,0,4,5,0,3,4,0,3,3,1,1,0,2,0,66
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,5 - ESPETTO DE LINGUICA,6,13,6,7,9,14,21,9,5,2,7,0,9,12,12,3,3,10,5,19,5,4,11,4,3,1,4,2,3,2,0,211
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,6 - ESPETTO DE CARNE,47,92,106,69,110,91,67,78,97,81,114,50,115,103,121,77,80,94,90,115,64,82,120,38,30,41,62,31,15,36,0,2316
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,7 - ESPETTO DE CORACAO,13,25,27,17,45,21,16,30,25,19,30,19,30,24,29,19,20,36,18,23,23,13,22,5,7,5,13,13,8,10,0,605
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,8 - ESPETTO DE QUEIJO COALHO,7,20,15,7,26,17,11,22,21,11,25,12,25,16,15,10,16,21,15,16,12,12,10,3,2,4,3,7,5,3,0,389
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,9 - ESPETTO DE KAFTA,9,21,10,7,23,14,18,14,17,20,19,7,13,12,12,12,17,24,16,17,7,2,13,2,4,7,12,6,2,11,0,368
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,10 - ESPETTO DE FRANGO,4,15,33,11,20,24,15,33,30,27,36,12,26,16,28,13,28,28,22,32,23,29,16,13,9,11,8,12,2,11,0,587
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,11 - ESPETTO MISTO,13,19,18,15,22,11,10,26,20,15,25,23,40,19,20,34,17,29,14,18,23,11,25,3,16,15,30,9,17,8,0,565
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,12 - ESPETTO DE SALSICHAO,4,5,8,6,6,7,4,1,5,5,13,4,6,7,9,21,8,4,8,2,3,2,5,8,3,0,8,4,3,6,0,175
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,13 - ESPETTO DE FRANGO A MILANESA,0,4,6,4,2,6,2,3,4,4,6,2,13,5,7,12,12,12,3,17,9,9,9,2,5,7,5,5,1,2,0,178
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,14 - ESPETTO SUINO,3,4,6,4,2,1,1,2,0,0,2,0,8,3,3,3,3,1,2,8,0,2,3,0,2,0,3,0,1,0,0,67
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,15 - ESPETTO DE CARNE C/ BACON,4,15,19,12,15,18,7,9,11,8,21,6,17,20,5,17,14,14,5,16,11,16,19,2,4,4,9,9,10,9,0,346
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,16 - ESPETTO DE FRANGO C/ BACON,2,6,8,6,16,6,4,5,10,5,8,6,13,7,4,8,7,5,10,10,8,5,5,4,3,7,6,6,3,11,0,204
